trait1	trait2	rg	rg_se	rg_z	rg_p	genetic_covariance	genetic_covariance_se	cross_trait_intercept	cross_trait_intercept_se	mean_z1z2	n_valid_alleles	warning_flags	return_code	rg_fdr_bh	rg_p_bonferroni	rg_significant_fdr	rg_significant_bonferroni	point_estimate_direction
AMD	POAG	-0.166	0.074	-2.2438	0.0248	-0.0262	0.0072	-0.0381	0.0075	-0.0849	1021707	NONE	0	0.06867692308	0.8928	NO	NO	NEGATIVE
AMD	CAT	0.1103	0.0504	2.1871	0.0287	0.0106	0.0066	-0.0107	0.0086	0.013	1008074	NONE	0	0.0738	1	NO	NO	POSITIVE
AMD	CAD	-0.007	0.0383	-0.1833	0.8546	-0.0008	0.0044	-0.0098	0.012	-0.0109	1022226	NONE	0	0.8975	1	NO	NO	NEGATIVE
AMD	STROKE	0.0078	0.0542	0.1437	0.8857	0.0004	0.0025	-0.0077	0.0068	-0.006	1020894	NONE	0	0.8975	1	NO	NO	POSITIVE
AMD	T2D	-0.064	0.0374	-1.7127	0.0868	-0.0088	0.0046	0.009	0.0088	-0.0239	1014380	NONE	0	0.1488	1	NO	NO	NEGATIVE
AMD	CKD	0.0141	0.0571	0.2478	0.8043	0.0011	0.0042	0.0109	0.007	0.0142	1019696	NONE	0	0.8774181818	1	NO	NO	POSITIVE
AMD	AD	-0.0368	0.0565	-0.6513	0.5149	-0.0031	0.0052	-0.0083	0.01	-0.018	1014052	NONE	0	0.6766714286	1	NO	NO	NEGATIVE
AMD	PD	-0.0114	0.0458	-0.2489	0.8034	-0.0009	0.0035	0.0091	0.0059	0.0062	998240	NONE	0	0.8774181818	1	NO	NO	NEGATIVE
POAG	CAT	0.1234	0.0429	2.8771	0.004	0.0048	0.0017	0.0181	0.0057	0.047	1160042	NONE	0	0.016	0.144	YES	NO	POSITIVE
POAG	CAD	-0.0159	0.051	-0.3119	0.7551	-0.0007	0.0023	0.0005	0.007	-0.0105	1180907	NONE	0	0.8768903226	1	NO	NO	NEGATIVE
POAG	STROKE	0.0059	0.0458	0.1288	0.8975	0.0001	0.0009	0.0074	0.0056	0.0105	1174782	NONE	0	0.8975	1	NO	NO	POSITIVE
POAG	T2D	-0.0265	0.0267	-0.9916	0.3214	-0.0015	0.0015	0.0135	0.0061	0.0031	1170204	NONE	0	0.4821	1	NO	NO	NEGATIVE
POAG	CKD	-0.0922	0.052	-1.7722	0.0764	-0.0027	0.0016	0.0173	0.0054	-0.0016	1174309	NONE	0	0.13752	1	NO	NO	NEGATIVE
POAG	AD	0.0408	0.0457	0.8923	0.3722	0.0014	0.0016	-0.0035	0.006	0.0076	1166376	NONE	0	0.535968	1	NO	NO	POSITIVE
POAG	PD	-0.0336	0.0413	-0.8136	0.4159	-0.0011	0.0014	0.0018	0.0054	-0.0049	1131316	NONE	0	0.5758615385	1	NO	NO	NEGATIVE
CAT	CAD	0.2159	0.0325	6.6461	3.009e-11	0.006	0.001	-0.012	0.0066	0.0742	1159687	NONE	0	2.7081e-10	1.08324e-09	YES	YES	POSITIVE
CAT	STROKE	0.1034	0.0531	1.9459	0.0517	0.0012	0.0006	0.0175	0.0058	0.0362	1156594	NONE	0	0.1094823529	1	NO	NO	POSITIVE
CAT	T2D	0.1459	0.0318	4.5814	4.6198e-06	0.0048	0.0011	0.0045	0.0063	0.0689	1150611	NONE	0	2.77188e-05	0.0001663128	YES	YES	POSITIVE
CAT	CKD	0.0292	0.0603	0.484	0.6284	0.0005	0.0011	0.0003	0.0057	0.0011	1154723	NONE	0	0.7800827586	1	NO	NO	POSITIVE
CAT	AD	-0.0997	0.0538	-1.8557	0.0635	-0.0021	0.0012	0.0032	0.0057	-0.0161	1148058	NONE	0	0.1203157895	1	NO	NO	NEGATIVE
CAT	PD	-0.0314	0.0496	-0.6337	0.5263	-0.0006	0.001	0.0023	0.0058	-0.0045	1113328	NONE	0	0.6766714286	1	NO	NO	NEGATIVE
CAD	STROKE	0.5081	0.0334	15.2223	2.5141e-52	0.0073	0.0006	0.0563	0.0064	0.23	1174847	NONE	0	4.52538e-51	9.05076e-51	YES	YES	POSITIVE
CAD	T2D	0.3944	0.021	18.7547	1.7721e-78	0.0156	0.001	0.0831	0.0083	0.3986	1169870	NONE	0	6.37956e-77	6.37956e-77	YES	YES	POSITIVE
CAD	CKD	0.1344	0.0453	2.9651	0.003	0.0029	0.001	0.0329	0.0061	0.0737	1174603	NONE	0	0.0135	0.108	YES	NO	POSITIVE
CAD	AD	-0.2216	0.0379	-5.8502	4.9093e-09	-0.0056	0.0008	0.0077	0.0078	-0.0797	1166750	NONE	0	3.534696e-08	1.767348e-07	YES	YES	NEGATIVE
CAD	PD	-0.0619	0.0302	-2.0482	0.0405	-0.0015	0.0007	-0.0081	0.0056	-0.0279	1131282	NONE	0	0.091125	1	NO	NO	NEGATIVE
STROKE	T2D	0.3521	0.03	11.7205	1.0007e-31	0.006	0.0006	0.0391	0.0063	0.1678	1166560	NONE	0	1.20084e-30	3.60252e-30	YES	YES	POSITIVE
STROKE	CKD	0.1544	0.0637	2.4246	0.0153	0.0014	0.0006	0.0265	0.005	0.0478	1169797	NONE	0	0.0459	0.5508	YES	NO	POSITIVE
STROKE	AD	-0.1396	0.0529	-2.638	0.0083	-0.0015	0.0006	0.0114	0.0056	-0.0117	1162499	NONE	0	0.02716363636	0.2988	YES	NO	NEGATIVE
STROKE	PD	-0.1118	0.0519	-2.1564	0.0311	-0.0011	0.0005	0.0033	0.0052	-0.0154	1130799	NONE	0	0.07464	1	NO	NO	NEGATIVE
T2D	CKD	0.0154	0.035	0.4394	0.6604	0.0004	0.0009	0.0425	0.0054	0.0468	1166491	NONE	0	0.79248	1	NO	NO	POSITIVE
T2D	AD	-0.089	0.0327	-2.7169	0.0066	-0.0027	0.001	0.0074	0.0066	-0.03	1156787	NONE	0	0.02376	0.2376	YES	NO	NEGATIVE
T2D	PD	-0.0498	0.0304	-1.6375	0.1015	-0.0014	0.0008	0.0026	0.0056	-0.0185	1123820	NONE	0	0.1660909091	1	NO	NO	NEGATIVE
CKD	AD	-0.1285	0.0672	-1.9134	0.0557	-0.0021	0.0011	0.009	0.0057	-0.0097	1161384	NONE	0	0.1114	1	NO	NO	NEGATIVE
CKD	PD	0.0926	0.0605	1.5306	0.1259	0.0014	0.001	-0.0074	0.0054	0.0063	1127300	NONE	0	0.1970608696	1	NO	NO	POSITIVE
AD	PD	0.2051	0.0549	3.7352	0.0002	0.0036	0.001	0.0174	0.005	0.0519	1120060	NONE	0	0.001028571429	0.0072	YES	YES	POSITIVE
